Frame, Keypoints, Bounding Boxes, Confidence Scores, Classes
19, N/A, [844.0, 202.0, 1010.0, 423.0], 0.6971204876899719, 0.0
20, N/A, [371.0, 4.0, 1086.0, 711.0], 0.9411693811416626, 0.0
20, N/A, [1164.0, 13.0, 1280.0, 714.0], 0.7558605670928955, 0.0
20, N/A, [990.0, 218.0, 1172.0, 429.0], 0.7084758877754211, 0.0
20, N/A, [850.0, 204.0, 1012.0, 423.0], 0.6794033050537109, 0.0
21, N/A, [372.0, 4.0, 1087.0, 711.0], 0.940719485282898, 0.0
21, N/A, [1164.0, 14.0, 1280.0, 713.0], 0.7674354910850525, 0.0
21, N/A, [848.0, 203.0, 1011.0, 423.0], 0.667012631893158, 0.0
21, N/A, [988.0, 218.0, 1167.0, 427.0], 0.5489253401756287, 0.0
22, N/A, [372.0, 4.0, 1087.0, 711.0], 0.9406481385231018, 0.0
22, N/A, [1164.0, 14.0, 1280.0, 714.0], 0.75953608751297, 0.0
22, N/A, [850.0, 203.0, 1010.0, 422.0], 0.6813664436340332, 0.0
22, N/A, [990.0, 218.0, 1168.0, 427.0], 0.6272464394569397, 0.0
23, N/A, [372.0, 4.0, 1087.0, 711.0], 0.9399623870849609, 0.0
23, N/A, [1163.0, 11.0, 1280.0, 713.0], 0.77998948097229, 0.0
23, N/A, [857.0, 202.0, 1011.0, 421.0], 0.6775957345962524, 0.0
24, N/A, [371.0, 4.0, 1087.0, 711.0], 0.9394851922988892, 0.0
24, N/A, [1164.0, 14.0, 1280.0, 713.0], 0.7166679501533508, 0.0
24, N/A, [855.0, 202.0, 1010.0, 420.0], 0.7029860019683838, 0.0
24, N/A, [987.0, 216.0, 1143.0, 423.0], 0.5480046272277832, 0.0
25, N/A, [371.0, 4.0, 1087.0, 711.0], 0.939487099647522, 0.0
25, N/A, [856.0, 202.0, 1012.0, 419.0], 0.7188304662704468, 0.0
25, N/A, [1163.0, 14.0, 1280.0, 713.0], 0.7025430202484131, 0.0
25, N/A, [979.0, 217.0, 1138.0, 423.0], 0.5253376364707947, 0.0
26, N/A, [371.0, 4.0, 1088.0, 711.0], 0.9403252601623535, 0.0
26, N/A, [853.0, 205.0, 1012.0, 422.0], 0.7387682795524597, 0.0
26, N/A, [1164.0, 16.0, 1280.0, 714.0], 0.6918417811393738, 0.0
27, N/A, [370.0, 4.0, 1088.0, 711.0], 0.9389929175376892, 0.0
27, N/A, [856.0, 204.0, 1012.0, 425.0], 0.7371862530708313, 0.0
27, N/A, [1165.0, 15.0, 1280.0, 714.0], 0.6873810291290283, 0.0
27, N/A, [991.0, 218.0, 1154.0, 424.0], 0.536550760269165, 0.0
28, N/A, [368.0, 4.0, 1089.0, 711.0], 0.9389744400978088, 0.0
28, N/A, [852.0, 202.0, 1013.0, 425.0], 0.7325499653816223, 0.0
28, N/A, [1165.0, 15.0, 1280.0, 714.0], 0.7156437039375305, 0.0
28, N/A, [991.0, 217.0, 1155.0, 423.0], 0.6077032685279846, 0.0
29, N/A, [371.0, 4.0, 1089.0, 711.0], 0.9392898678779602, 0.0
29, N/A, [846.0, 204.0, 1012.0, 425.0], 0.7398620247840881, 0.0
29, N/A, [1165.0, 16.0, 1280.0, 713.0], 0.6931793093681335, 0.0
30, N/A, [371.0, 4.0, 1089.0, 711.0], 0.9391291737556458, 0.0
30, N/A, [1167.0, 12.0, 1280.0, 715.0], 0.7571096420288086, 0.0
30, N/A, [846.0, 205.0, 1013.0, 423.0], 0.6568863391876221, 0.0
31, N/A, [369.0, 4.0, 1088.0, 711.0], 0.9392217397689819, 0.0
31, N/A, [1165.0, 13.0, 1280.0, 713.0], 0.7375282645225525, 0.0
31, N/A, [851.0, 204.0, 1015.0, 421.0], 0.7118315100669861, 0.0
31, N/A, [987.0, 217.0, 1152.0, 422.0], 0.6355120539665222, 0.0
32, N/A, [369.0, 4.0, 1088.0, 711.0], 0.9379895925521851, 0.0
32, N/A, [1166.0, 13.0, 1280.0, 713.0], 0.7163663506507874, 0.0
32, N/A, [852.0, 202.0, 1010.0, 413.0], 0.676645815372467, 0.0
32, N/A, [988.0, 214.0, 1172.0, 424.0], 0.611919641494751, 0.0
33, N/A, [371.0, 4.0, 1089.0, 711.0], 0.9372593760490417, 0.0
33, N/A, [1166.0, 14.0, 1280.0, 714.0], 0.7226917743682861, 0.0
33, N/A, [844.0, 204.0, 1015.0, 415.0], 0.7006330490112305, 0.0
33, N/A, [986.0, 214.0, 1172.0, 425.0], 0.6604436039924622, 0.0
34, N/A, [371.0, 4.0, 1087.0, 711.0], 0.936968207359314, 0.0
34, N/A, [1167.0, 15.0, 1280.0, 714.0], 0.745375394821167, 0.0
34, N/A, [856.0, 207.0, 1003.0, 414.0], 0.6463485956192017, 0.0
34, N/A, [990.0, 219.0, 1173.0, 427.0], 0.5510209798812866, 0.0
35, N/A, [367.0, 4.0, 1086.0, 711.0], 0.936180591583252, 0.0
35, N/A, [1167.0, 16.0, 1280.0, 714.0], 0.707897424697876, 0.0
35, N/A, [865.0, 205.0, 1013.0, 422.0], 0.6393442749977112, 0.0
35, N/A, [990.0, 219.0, 1173.0, 426.0], 0.5498368144035339, 0.0
36, N/A, [368.0, 4.0, 1084.0, 711.0], 0.9391696453094482, 0.0
36, N/A, [869.0, 203.0, 1006.0, 385.0], 0.6677472591400146, 0.0
36, N/A, [1169.0, 15.0, 1280.0, 713.0], 0.667571485042572, 0.0
36, N/A, [992.0, 214.0, 1173.0, 422.0], 0.6026831269264221, 0.0
37, N/A, [368.0, 4.0, 1086.0, 711.0], 0.9396766424179077, 0.0
37, N/A, [1170.0, 14.0, 1280.0, 713.0], 0.663101315498352, 0.0
37, N/A, [981.0, 214.0, 1176.0, 423.0], 0.608136773109436, 0.0
37, N/A, [869.0, 206.0, 1010.0, 408.0], 0.6055437326431274, 0.0
38, N/A, [368.0, 4.0, 1087.0, 711.0], 0.9383478164672852, 0.0
38, N/A, [1171.0, 15.0, 1280.0, 713.0], 0.6067426800727844, 0.0
38, N/A, [871.0, 208.0, 1014.0, 423.0], 0.5982879996299744, 0.0
39, N/A, [369.0, 4.0, 1089.0, 711.0], 0.9400171637535095, 0.0
39, N/A, [1173.0, 16.0, 1280.0, 712.0], 0.6549339890480042, 0.0
39, N/A, [874.0, 208.0, 1011.0, 423.0], 0.5760621428489685, 0.0
40, N/A, [368.0, 4.0, 1091.0, 711.0], 0.939507007598877, 0.0
40, N/A, [872.0, 207.0, 1011.0, 424.0], 0.6297672390937805, 0.0
40, N/A, [1173.0, 16.0, 1280.0, 712.0], 0.6133953332901001, 0.0
40, N/A, [1046.0, 216.0, 1183.0, 429.0], 0.5648179054260254, 0.0
41, N/A, [369.0, 4.0, 1091.0, 711.0], 0.9400627017021179, 0.0
41, N/A, [1172.0, 13.0, 1280.0, 713.0], 0.6899117231369019, 0.0
41, N/A, [869.0, 208.0, 1011.0, 425.0], 0.6012312173843384, 0.0
41, N/A, [1045.0, 216.0, 1183.0, 429.0], 0.5024983286857605, 0.0
42, N/A, [368.0, 4.0, 1092.0, 711.0], 0.9400539398193359, 0.0
42, N/A, [1174.0, 12.0, 1280.0, 713.0], 0.7273681163787842, 0.0
42, N/A, [817.0, 208.0, 1015.0, 424.0], 0.6546987295150757, 0.0
43, N/A, [367.0, 4.0, 1091.0, 711.0], 0.9402191638946533, 0.0
43, N/A, [1173.0, 13.0, 1280.0, 710.0], 0.7208108901977539, 0.0
43, N/A, [819.0, 207.0, 1013.0, 427.0], 0.6852467060089111, 0.0
44, N/A, [367.0, 4.0, 1091.0, 711.0], 0.9393606185913086, 0.0
44, N/A, [1174.0, 14.0, 1280.0, 708.0], 0.6998443007469177, 0.0
44, N/A, [844.0, 206.0, 1014.0, 429.0], 0.6498124003410339, 0.0
44, N/A, [983.0, 216.0, 1180.0, 364.0], 0.5426944494247437, 0.0
45, N/A, [367.0, 4.0, 1092.0, 711.0], 0.9396088719367981, 0.0
45, N/A, [1174.0, 14.0, 1280.0, 704.0], 0.6833587884902954, 0.0
45, N/A, [829.0, 205.0, 1015.0, 427.0], 0.6450293064117432, 0.0
45, N/A, [986.0, 216.0, 1178.0, 361.0], 0.5068841576576233, 0.0
46, N/A, [367.0, 4.0, 1092.0, 711.0], 0.9403267502784729, 0.0
46, N/A, [1173.0, 14.0, 1280.0, 703.0], 0.678368091583252, 0.0
46, N/A, [840.0, 204.0, 1015.0, 430.0], 0.6666746139526367, 0.0
46, N/A, [985.0, 216.0, 1175.0, 361.0], 0.5527598857879639, 0.0
47, N/A, [368.0, 4.0, 1091.0, 711.0], 0.9419035315513611, 0.0
47, N/A, [851.0, 202.0, 1016.0, 427.0], 0.743243396282196, 0.0
47, N/A, [1169.0, 14.0, 1280.0, 706.0], 0.6812610030174255, 0.0
47, N/A, [985.0, 214.0, 1171.0, 360.0], 0.5591727495193481, 0.0
48, N/A, [367.0, 4.0, 1088.0, 711.0], 0.9423788785934448, 0.0
48, N/A, [863.0, 204.0, 1015.0, 428.0], 0.741000771522522, 0.0
49, N/A, [367.0, 4.0, 1087.0, 711.0], 0.9410643577575684, 0.0
49, N/A, [861.0, 206.0, 1016.0, 429.0], 0.6944829821586609, 0.0
49, N/A, [983.0, 216.0, 1165.0, 355.0], 0.5981210470199585, 0.0
50, N/A, [366.0, 4.0, 1086.0, 711.0], 0.9408416152000427, 0.0
50, N/A, [865.0, 204.0, 1015.0, 424.0], 0.6578518152236938, 0.0
50, N/A, [1161.0, 16.0, 1280.0, 700.0], 0.5211250185966492, 0.0
51, N/A, [366.0, 4.0, 1086.0, 711.0], 0.9406259059906006, 0.0
51, N/A, [1160.0, 23.0, 1280.0, 702.0], 0.6365435719490051, 0.0
51, N/A, [860.0, 203.0, 1018.0, 419.0], 0.5037872195243835, 0.0
52, N/A, [369.0, 4.0, 1085.0, 710.0], 0.9410078525543213, 0.0
52, N/A, [1041.0, 215.0, 1165.0, 429.0], 0.6890048384666443, 0.0
53, N/A, [369.0, 4.0, 1081.0, 710.0], 0.9420685768127441, 0.0
54, N/A, [371.0, 5.0, 1079.0, 711.0], 0.9430117011070251, 0.0
54, N/A, [967.0, 215.0, 1159.0, 428.0], 0.5320894122123718, 0.0
54, N/A, [1151.0, 10.0, 1280.0, 707.0], 0.5200381278991699, 0.0
55, N/A, [376.0, 4.0, 1075.0, 711.0], 0.9436850547790527, 0.0
55, N/A, [1151.0, 12.0, 1280.0, 706.0], 0.5785583853721619, 0.0
55, N/A, [976.0, 210.0, 1159.0, 424.0], 0.5647501349449158, 0.0
56, N/A, [381.0, 4.0, 1072.0, 711.0], 0.9432704448699951, 0.0
56, N/A, [1150.0, 20.0, 1280.0, 707.0], 0.6947973370552063, 0.0
57, N/A, [388.0, 4.0, 1070.0, 711.0], 0.9411596655845642, 0.0
57, N/A, [1147.0, 23.0, 1280.0, 705.0], 0.6089265942573547, 0.0
58, N/A, [393.0, 4.0, 1067.0, 711.0], 0.940601110458374, 0.0
58, N/A, [1147.0, 18.0, 1280.0, 705.0], 0.6681210994720459, 0.0
59, N/A, [400.0, 3.0, 1063.0, 712.0], 0.9391002655029297, 0.0
59, N/A, [1145.0, 14.0, 1280.0, 707.0], 0.7705553770065308, 0.0
60, N/A, [408.0, 3.0, 1057.0, 712.0], 0.9410477876663208, 0.0
60, N/A, [1141.0, 16.0, 1280.0, 708.0], 0.7367298007011414, 0.0
60, N/A, [986.0, 211.0, 1157.0, 350.0], 0.5262714624404907, 0.0
61, N/A, [412.0, 5.0, 1056.0, 713.0], 0.9398655295372009, 0.0
61, N/A, [1135.0, 13.0, 1280.0, 706.0], 0.608661413192749, 0.0
62, N/A, [417.0, 4.0, 1050.0, 712.0], 0.9395851492881775, 0.0
62, N/A, [857.0, 204.0, 1023.0, 427.0], 0.5727372169494629, 0.0
62, N/A, [1135.0, 14.0, 1280.0, 708.0], 0.5708221197128296, 0.0
63, N/A, [418.0, 5.0, 1044.0, 712.0], 0.938086211681366, 0.0
63, N/A, [857.0, 202.0, 1021.0, 427.0], 0.6331220865249634, 0.0
64, N/A, [421.0, 5.0, 1038.0, 715.0], 0.939452588558197, 0.0
64, N/A, [988.0, 212.0, 1153.0, 426.0], 0.7623415589332581, 0.0
64, N/A, [861.0, 204.0, 1020.0, 426.0], 0.740385890007019, 0.0
64, N/A, [1138.0, 17.0, 1280.0, 708.0], 0.7001569271087646, 0.0
65, N/A, [424.0, 4.0, 1027.0, 713.0], 0.9394436478614807, 0.0
65, N/A, [988.0, 214.0, 1153.0, 429.0], 0.6965551376342773, 0.0
65, N/A, [857.0, 205.0, 1017.0, 438.0], 0.6795139312744141, 0.0
65, N/A, [1135.0, 24.0, 1280.0, 707.0], 0.624704897403717, 0.0
66, N/A, [427.0, 4.0, 1026.0, 713.0], 0.9411258101463318, 0.0
66, N/A, [989.0, 215.0, 1158.0, 430.0], 0.7354932427406311, 0.0
66, N/A, [866.0, 206.0, 1015.0, 438.0], 0.649066686630249, 0.0
66, N/A, [1131.0, 11.0, 1280.0, 706.0], 0.6348244547843933, 0.0
67, N/A, [429.0, 4.0, 1025.0, 713.0], 0.9415632486343384, 0.0
67, N/A, [993.0, 214.0, 1159.0, 430.0], 0.6831733584403992, 0.0
67, N/A, [1131.0, 10.0, 1280.0, 707.0], 0.6175180077552795, 0.0
68, N/A, [430.0, 3.0, 1025.0, 715.0], 0.9409341812133789, 0.0
68, N/A, [846.0, 204.0, 1021.0, 435.0], 0.7516837120056152, 0.0
68, N/A, [989.0, 214.0, 1161.0, 429.0], 0.6810492277145386, 0.0
68, N/A, [1130.0, 10.0, 1280.0, 708.0], 0.6420376300811768, 0.0
69, N/A, [430.0, 3.0, 1027.0, 714.0], 0.9385898113250732, 0.0
69, N/A, [1129.0, 14.0, 1280.0, 708.0], 0.6880527138710022, 0.0
69, N/A, [1030.0, 215.0, 1165.0, 432.0], 0.6030346155166626, 0.0
69, N/A, [840.0, 206.0, 1014.0, 438.0], 0.5647333860397339, 0.0
70, N/A, [429.0, 3.0, 1025.0, 714.0], 0.9390804767608643, 0.0
70, N/A, [1130.0, 14.0, 1280.0, 707.0], 0.6723228693008423, 0.0
70, N/A, [837.0, 206.0, 1016.0, 437.0], 0.6487535834312439, 0.0
70, N/A, [1020.0, 218.0, 1162.0, 432.0], 0.5111685395240784, 0.0
71, N/A, [428.0, 3.0, 1024.0, 714.0], 0.9398270845413208, 0.0
71, N/A, [831.0, 204.0, 1020.0, 436.0], 0.7392165660858154, 0.0
71, N/A, [1130.0, 10.0, 1280.0, 706.0], 0.6569695472717285, 0.0
71, N/A, [1033.0, 219.0, 1161.0, 430.0], 0.5964996814727783, 0.0
72, N/A, [426.0, 4.0, 1026.0, 712.0], 0.9370543360710144, 0.0
72, N/A, [1129.0, 10.0, 1280.0, 707.0], 0.6930856108665466, 0.0
72, N/A, [1032.0, 220.0, 1159.0, 430.0], 0.5811663866043091, 0.0
72, N/A, [835.0, 204.0, 1016.0, 429.0], 0.5490186214447021, 0.0
73, N/A, [427.0, 5.0, 1027.0, 712.0], 0.935505747795105, 0.0
73, N/A, [1127.0, 11.0, 1280.0, 707.0], 0.7079704999923706, 0.0
73, N/A, [843.0, 206.0, 1095.0, 433.0], 0.5937848091125488, 0.0
74, N/A, [426.0, 7.0, 1026.0, 712.0], 0.9364377856254578, 0.0
74, N/A, [1127.0, 11.0, 1280.0, 709.0], 0.690636932849884, 0.0
74, N/A, [840.0, 207.0, 1015.0, 430.0], 0.6021632552146912, 0.0
74, N/A, [1041.0, 222.0, 1157.0, 429.0], 0.5386433601379395, 0.0
75, N/A, [424.0, 6.0, 1024.0, 714.0], 0.9364564418792725, 0.0
75, N/A, [1126.0, 12.0, 1280.0, 709.0], 0.7119752764701843, 0.0
75, N/A, [836.0, 209.0, 1004.0, 429.0], 0.6347469687461853, 0.0
75, N/A, [1041.0, 222.0, 1159.0, 429.0], 0.5652499198913574, 0.0
76, N/A, [422.0, 6.0, 1025.0, 714.0], 0.9357907772064209, 0.0
76, N/A, [1126.0, 12.0, 1280.0, 709.0], 0.6966356039047241, 0.0
76, N/A, [838.0, 204.0, 1005.0, 429.0], 0.5977195501327515, 0.0
76, N/A, [1043.0, 223.0, 1157.0, 427.0], 0.5748565793037415, 0.0
77, N/A, [421.0, 6.0, 1029.0, 712.0], 0.9342905282974243, 0.0
77, N/A, [1127.0, 21.0, 1280.0, 707.0], 0.7561441659927368, 0.0
77, N/A, [826.0, 205.0, 1127.0, 431.0], 0.7150369882583618, 0.0
77, N/A, [1042.0, 223.0, 1158.0, 427.0], 0.5977477431297302, 0.0
78, N/A, [419.0, 7.0, 1033.0, 712.0], 0.9302747249603271, 0.0
78, N/A, [837.0, 204.0, 1108.0, 428.0], 0.7368521690368652, 0.0
78, N/A, [1126.0, 24.0, 1280.0, 711.0], 0.6977579593658447, 0.0
78, N/A, [1041.0, 222.0, 1158.0, 428.0], 0.6164836287498474, 0.0
79, N/A, [419.0, 6.0, 1030.0, 713.0], 0.9351289868354797, 0.0
79, N/A, [1127.0, 25.0, 1280.0, 712.0], 0.7280129790306091, 0.0
79, N/A, [846.0, 205.0, 1020.0, 426.0], 0.7201963067054749, 0.0
79, N/A, [1044.0, 223.0, 1157.0, 429.0], 0.6297241449356079, 0.0
80, N/A, [418.0, 6.0, 1031.0, 713.0], 0.9356305599212646, 0.0
80, N/A, [1125.0, 26.0, 1280.0, 712.0], 0.7020959854125977, 0.0
80, N/A, [1037.0, 223.0, 1158.0, 430.0], 0.647654116153717, 0.0
80, N/A, [849.0, 205.0, 1021.0, 424.0], 0.5590780377388, 0.0
81, N/A, [418.0, 6.0, 1037.0, 713.0], 0.9324324727058411, 0.0
81, N/A, [838.0, 205.0, 1100.0, 431.0], 0.7302006483078003, 0.0
81, N/A, [1121.0, 19.0, 1280.0, 709.0], 0.5249778628349304, 0.0
81, N/A, [1030.0, 224.0, 1158.0, 430.0], 0.5130665302276611, 0.0
82, N/A, [417.0, 6.0, 1039.0, 712.0], 0.9341561198234558, 0.0
82, N/A, [1123.0, 18.0, 1280.0, 710.0], 0.5487951040267944, 0.0
82, N/A, [1042.0, 224.0, 1160.0, 429.0], 0.5430927276611328, 0.0
83, N/A, [417.0, 6.0, 1036.0, 713.0], 0.9363097548484802, 0.0
83, N/A, [1046.0, 222.0, 1158.0, 431.0], 0.5878629088401794, 0.0
83, N/A, [852.0, 204.0, 1009.0, 430.0], 0.5840420722961426, 0.0
83, N/A, [1122.0, 13.0, 1280.0, 711.0], 0.5602317452430725, 0.0
84, N/A, [416.0, 6.0, 1037.0, 713.0], 0.934529185295105, 0.0
